Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,25200.000000,25300.000000,25075.000000,25150.000000,25150.000000,968200
2022-08-24,25150.000000,25175.000000,25075.000000,25100.000000,25100.000000,362200
2022-08-25,25225.000000,25225.000000,25050.000000,25050.000000,25050.000000,348300
2022-08-26,25075.000000,25225.000000,25000.000000,25025.000000,25025.000000,1164200
2022-08-29,25025.000000,25250.000000,24650.000000,24650.000000,24650.000000,1266200
2022-08-30,24650.000000,24825.000000,24350.000000,24450.000000,24450.000000,802600
2022-08-31,24450.000000,24450.000000,23725.000000,23725.000000,23725.000000,2216900
2022-09-01,23725.000000,24275.000000,23500.000000,23800.000000,23800.000000,1145100
2022-09-02,23800.000000,24050.000000,23650.000000,23700.000000,23700.000000,579600
2022-09-05,23700.000000,23975.000000,23500.000000,23950.000000,23950.000000,827700
2022-09-06,23900.000000,24200.000000,23825.000000,24200.000000,24200.000000,409900
2022-09-07,24200.000000,24200.000000,23825.000000,24100.000000,24100.000000,438000
2022-09-08,24100.000000,24150.000000,23750.000000,23775.000000,23775.000000,764100
2022-09-09,23775.000000,23850.000000,23675.000000,23700.000000,23700.000000,265800
2022-09-12,23725.000000,24000.000000,23700.000000,23950.000000,23950.000000,607500
2022-09-13,23950.000000,24200.000000,23900.000000,23950.000000,23950.000000,570300
2022-09-14,23950.000000,23950.000000,23625.000000,23675.000000,23675.000000,739100
2022-09-15,23750.000000,23825.000000,23650.000000,23700.000000,23700.000000,812100
2022-09-16,23700.000000,23700.000000,23325.000000,23375.000000,23375.000000,1917900
2022-09-19,23350.000000,23500.000000,23025.000000,23025.000000,23025.000000,936000
2022-09-20,23025.000000,23225.000000,23025.000000,23050.000000,23050.000000,614300
2022-09-21,23050.000000,23100.000000,22850.000000,22900.000000,22900.000000,1076200
2022-09-22,22900.000000,23000.000000,22400.000000,22500.000000,22500.000000,891800
2022-09-23,22500.000000,22550.000000,22300.000000,22300.000000,22300.000000,787900
2022-09-26,22300.000000,23525.000000,22100.000000,23050.000000,23050.000000,1416900
2022-09-27,23000.000000,23125.000000,22675.000000,22850.000000,22850.000000,858500
2022-09-28,22800.000000,25125.000000,22725.000000,24400.000000,24400.000000,6121900
2022-09-29,24525.000000,24800.000000,23200.000000,23225.000000,23225.000000,1619600
2022-09-30,23400.000000,23900.000000,22900.000000,22925.000000,22925.000000,1552600
2022-10-03,22925.000000,23250.000000,22650.000000,22675.000000,22675.000000,541000
2022-10-04,22950.000000,22950.000000,22500.000000,22500.000000,22500.000000,815400
2022-10-05,22500.000000,22975.000000,22500.000000,22625.000000,22625.000000,715800
2022-10-06,22625.000000,22850.000000,22625.000000,22800.000000,22800.000000,515400
2022-10-07,22800.000000,23200.000000,22700.000000,22825.000000,22825.000000,654000
2022-10-10,22825.000000,23175.000000,22725.000000,22750.000000,22750.000000,496200
2022-10-11,22750.000000,22850.000000,22600.000000,22750.000000,22750.000000,507200
2022-10-12,22750.000000,22925.000000,22325.000000,22325.000000,22325.000000,1353200
2022-10-13,22325.000000,22675.000000,22300.000000,22325.000000,22325.000000,786300
2022-10-14,22425.000000,22600.000000,22300.000000,22300.000000,22300.000000,449600
2022-10-17,22300.000000,22300.000000,22075.000000,22100.000000,22100.000000,679300
